,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,User Experience Research and Design Specialization,1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/michiganux,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/user-experience-research-and-design-specialization,Paid,Video,Beginner
1,User Research: What It Is And Why You Should Do It,2,https://www.interaction-design.org/literature/article/user-research-what-it-is-and-why-you-should-do-it,Rajat,https://hackr.io/rajat-patel-3,https://hackr.io/tutorial/user-research-what-it-is-and-why-you-should-do,Free,,Beginner
2,Learn User-Centered Design with UX Research & Strategy,1,http://share.trydesignlab.com/hackriouxsc,Manuela,https://hackr.io/manuela-odell,https://hackr.io/tutorial/learn-user-centered-design-with-ux-research-strategy,Paid,Beginner,Certification
3,User Research Mastery,+1,http://courses.sarahdoody.com/p/user-research-mastery,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/user-research-mastery,Paid,Advanced,
4,The Practical Beginner’s Guide to User Research,+1,https://www.uxpin.com/studio/blog/the-practical-beginners-guide-to-user-research/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/the-practical-beginners-guide-to-user-research,Free,,Beginner
5,How To Conduct User Experience Research Like A Professional,+1,https://careerfoundry.com/en/blog/ux-design/how-to-conduct-user-experience-research-like-a-professional/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/how-to-conduct-user-experience-research-like-a-professional,Free,,Beginner
6,"7 Great, Tried and Tested UX Research Techniques",+1,https://www.interaction-design.org/literature/article/7-great-tried-and-tested-ux-research-techniques,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/7-great-tried-and-tested-ux-research-techniques,Free,Video,Beginner
