,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,Figma Tutorials,21,https://www.youtube.com/watch?v=RFi7wQHUP0c&list=PLXDU_eVOJTx4HJKh8tQkQRtIe5YlP5smB,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/figma-tutorials,Free,Video,Beginner
1,Figma Course,5,https://learnux.io/course/figma,Daniel,https://hackr.io/daniel-lee,https://hackr.io/tutorial/figma-course,Free,Video,Beginner
2,Figma 101,4,https://trydesignlab.com/figma-101-course/lessons,Ashish,https://hackr.io/ashish-bogawat,https://hackr.io/tutorial/figma-101,Free,,Beginner
3,Figma Tips and Tricks,2,https://webdesign.tutsplus.com/series/figma-tips-and-tricks--cms-1299,Ian,https://hackr.io/ian-yates,https://hackr.io/tutorial/figma-tips-and-tricks,Free,,Beginner
4,Design System in  Figma,2,https://designcode.io/design-system-figma,Ashish,https://hackr.io/ashish-bogawat,https://hackr.io/tutorial/design-system-in-figma,Free,,Beginner
5,Figma For Beginners,2,http://figmaforbeginners.com,Daniel,https://hackr.io/daniel-pendergast,https://hackr.io/tutorial/figma-for-beginners,Free,,Beginner
6,Getting Started - Figma end-to-end,1,https://www.youtube.com/watch?v=T0kRCTOX0zY,Chris,https://hackr.io/chris-duarte,https://hackr.io/tutorial/getting-started-figma-end-to-end,Free,,Beginner
