,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,Basic Color Theory Lessons,7,https://www.colormatters.com/color-and-design/basic-color-theory,,,,Free,,Beginner
1,The Fundamentals of Understanding Color Theory,7,https://99designs.com/blog/tips/the-7-step-guide-to-understanding-color-theory/,Pawan,https://hackr.io/pawan-kumar-2,https://hackr.io/tutorial/the-fundamentals-of-understanding-color-theory,Free,,Beginner
2,Basic Color Schemes  - Introduction to Color Theory,1,http://www.tigercolor.com/color-lab/color-theory/color-theory-intro.htm,,,,Free,,Beginner
3,10 Color Theory Basics Everyone Should Know,+1,http://freshome.com/2014/10/30/10-color-theory-basics-everyone-should-know/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/10-color-theory-basics-everyone-should-know,Free,,Beginner
4,Basic Color Theory,+1,http://www.beginnersschool.com/2015/10/27/basic-color-theory/,,,,Free,,Beginner
