,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,A virtual Crash Course in Design Thinking,8,https://dschool.stanford.edu/resources-collections/a-virtual-crash-course-in-design-thinking,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/a-virtual-crash-course-in-design-thinking,Free,Video,Beginner
1,Design Sprint Methodology,5,https://designsprintkit.withgoogle.com/methodology/overview,Parul,https://hackr.io/parul-bhargava-1,https://hackr.io/tutorial/design-sprint-methodology,Free,,Beginner
2,Design Thinking As a Strategy For Innovation,5,http://www.creativityatwork.com/design-thinking-strategy-for-innovation/,Pawan,https://hackr.io/pawan-kumar-2,https://hackr.io/tutorial/design-thinking-as-a-strategy-for-innovation,Free,Advanced,
3,Unlock Your Creativity With Design 101,3,http://share.trydesignlab.com/hackriodesign101,Manuela,https://hackr.io/manuela-odell,https://hackr.io/tutorial/unlock-your-creativity-with-design-101,Paid,Beginner,Certification
4,Web Design for Everybody,1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/web-design,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/web-design-for-everybody,Paid,Video,Beginner
5,Design Thinking: The Beginner's Guide,1,https://www.interaction-design.org/courses/design-thinking-the-beginner-s-guide,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/design-thinking-the-beginners-guide,Paid,Video,Advanced
6,Design Thinking for Innovation,+1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/uva-darden-design-thinking-innovation,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/design-thinking-for-innovation,Free,Video,Beginner
7,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,+1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/design-strategy,Kevin,https://hackr.io/kevin-yamato,https://hackr.io/tutorial/design-led-strategy-design-thinking-for-business-strategy-and-entrepreneurship,Paid,Video,Advanced
8,5 Stages in Design Thinking Process,+1,https://www.interaction-design.org/literature/article/5-stages-in-the-design-thinking-process,,,,Free,,Beginner
