,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,Better Web Typography in 13 Simple Steps,4,http://www.creativebloq.com/typography/better-web-typography-few-simple-steps-5132803,,,,Free,Video,Beginner
1,Power of the Pen – A Hand Lettering Tutorial,2,https://www.toptal.com/designers/typography/hand-lettering-tutorial,Steph,https://hackr.io/steph-smith,https://hackr.io/tutorial/power-of-the-pen-a-hand-lettering-tutorial,Free,,Beginner
2,Typography Course by Design Lab,2,http://trydesignlab.com/typography-course/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/typography-course-by-try-design-lab,Paid,Video,Beginner
3,Typography Essentials ? A Getting Started Guide,+1,http://freelancefolder.com/typography-essentials-a-getting-started-guide/,,,,Free,Video,Beginner
