,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,A Beginners Guide to Wireframing,7,https://webdesign.tutsplus.com/articles/a-beginners-guide-to-wireframing--webdesign-7399,Pawan,https://hackr.io/pawan-kumar-2,https://hackr.io/tutorial/a-beginners-guide-to-wireframing,Free,Video,Beginner
1,How to Design an App | UI UX Design,2,https://www.youtube.com/playlist?list=PL1FwQmdXh7JuV1KHS0QvC7lPJczsRhyUn,,,,Free,Video,Beginner
2,Wireframing for Beginners,2,http://uxmastery.com/wireframing-for-beginners/,,,,Free,Video,Beginner
3,Web Design Tutorial: Getting Started with Wireframes,1,https://www.codementor.io/nicolesaidy/getting-started-with-wireframes-du107vuh7,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/web-design-tutorial-getting-started-with-wireframes,Free,Video,Beginner
