,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,UX Foundations: Prototyping,1,https://linkedin-learning.pxf.io/MMDXn,Nick,https://hackr.io/nick-feng,https://hackr.io/tutorial/ux-foundations-prototyping,Video,Beginner,Paid
1,"Fast Prototyping with Sketch, Invision and Craft",2,https://www.youtube.com/watch?v=5lg-PbDZEn8,,,,Free,Video,Beginner
2,Rapid Prototyping,1,https://www.anrdoezrs.net/links/8752481/type/dlg/https://www.udacity.com/course/rapid-prototyping--ud723/,André,https://hackr.io/franciosi,https://hackr.io/tutorial/rapid-prototyping,Free,Video,
