,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type,Course Names
51,Designing Custom Illustrations Without Any Drawing Skills,5,https://www.toptal.com/designers/illustration/a-step-by-step-guide-to-designing-custom-illustrations-without-any-drawing-skills,Steph,https://hackr.io/steph-smith,https://hackr.io/tutorial/designing-custom-illustrations-without-any-drawing-skills,Free,,Beginner,adobe-illustrator
52,Illustrator - Basic,1,https://www.goskills.com/Course/Illustrator-Basic,Krystal,https://hackr.io/krystal-tolani,https://hackr.io/tutorial/illustrator-basic,Paid,Video,Beginner,adobe-illustrator
53,Illustrator - Advanced,1,https://www.goskills.com/Course/Illustrator-Advanced,Krystal,https://hackr.io/krystal-tolani,https://hackr.io/tutorial/illustrator-advanced,Paid,Video,Advanced,adobe-illustrator
54,UX Foundations: Prototyping,1,https://linkedin-learning.pxf.io/MMDXn,Nick,https://hackr.io/nick-feng,https://hackr.io/tutorial/ux-foundations-prototyping,Video,Beginner,Paid,prototyping
55,"Fast Prototyping with Sketch, Invision and Craft",2,https://www.youtube.com/watch?v=5lg-PbDZEn8,,,,Free,Video,Beginner,prototyping
56,Rapid Prototyping,1,https://www.anrdoezrs.net/links/8752481/type/dlg/https://www.udacity.com/course/rapid-prototyping--ud723/,André,https://hackr.io/franciosi,https://hackr.io/tutorial/rapid-prototyping,Free,Video,,prototyping
57,User Experience Research and Design Specialization,1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/michiganux,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/user-experience-research-and-design-specialization,Paid,Video,Beginner,ux-research
58,User Research: What It Is And Why You Should Do It,2,https://www.interaction-design.org/literature/article/user-research-what-it-is-and-why-you-should-do-it,Rajat,https://hackr.io/rajat-patel-3,https://hackr.io/tutorial/user-research-what-it-is-and-why-you-should-do,Free,,Beginner,ux-research
59,Learn User-Centered Design with UX Research & Strategy,1,http://share.trydesignlab.com/hackriouxsc,Manuela,https://hackr.io/manuela-odell,https://hackr.io/tutorial/learn-user-centered-design-with-ux-research-strategy,Paid,Beginner,Certification,ux-research
60,User Research Mastery,+1,http://courses.sarahdoody.com/p/user-research-mastery,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/user-research-mastery,Paid,Advanced,,ux-research
61,The Practical Beginner’s Guide to User Research,+1,https://www.uxpin.com/studio/blog/the-practical-beginners-guide-to-user-research/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/the-practical-beginners-guide-to-user-research,Free,,Beginner,ux-research
62,How To Conduct User Experience Research Like A Professional,+1,https://careerfoundry.com/en/blog/ux-design/how-to-conduct-user-experience-research-like-a-professional/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/how-to-conduct-user-experience-research-like-a-professional,Free,,Beginner,ux-research
63,"7 Great, Tried and Tested UX Research Techniques",+1,https://www.interaction-design.org/literature/article/7-great-tried-and-tested-ux-research-techniques,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/7-great-tried-and-tested-ux-research-techniques,Free,Video,Beginner,ux-research
64,Create Pixel Perfect Work with UI Design,3,http://share.trydesignlab.com/hackrioui,Manuela,https://hackr.io/manuela-odell,https://hackr.io/tutorial/create-pixel-perfect-work-with-ui-design,Paid,Advanced,Certification,user-interface-design
65,UI & Web-design for Beginners,19,https://www.youtube.com/watch?v=QJ9ygdD2sIY,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/ui-web-design-for-beginners,Free,Video,Beginner,user-interface-design
66,Learn UI Design,3,http://learnui.design/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/learn-ui-design,Paid,Video,Beginner,user-interface-design
67,Material Design,3,https://material.io/design/,Himanshu,https://hackr.io/himanshu-vaishnav,https://hackr.io/tutorial/material-design,Free,,Beginner,user-interface-design
68,Design 101 Course by Design Lab,2,http://share.trydesignlab.com/hackriodesign101,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/design-101-course-by-design-lab,Paid,Video,Beginner,user-interface-design
69,Introduction to Web Design and Development,1,https://linkedin-learning.pxf.io/dAnkk,Swapnil,https://hackr.io/swapnil-banga,https://hackr.io/tutorial/introduction-to-web-design-and-development,Paid,Video,,user-interface-design
70,Learn UI/UX Design with Abhinav,1,https://www.youtube.com/playlist?list=PLDtHAiqIa4wa5MBbE_XDoqY51sAkQnkjt,Biradar,https://hackr.io/-1092,https://hackr.io/tutorial/learn-ui-ux-design-with-abhinav,Free,Video,Beginner,user-interface-design
71,User Interface Design,1,https://www.javatpoint.com/software-engineering-user-interface-design,Neha,https://hackr.io/nehapandey,https://hackr.io/tutorial/user-interface-design,Free,Book,Beginner,user-interface-design
72,The iOS Design Guidelines,1,https://ivomynttinen.com/blog/ios-design-guidelines,Himanshu,https://hackr.io/himanshu-vaishnav,https://hackr.io/tutorial/the-ios-design-guidelines,Free,Beginner,iOS,user-interface-design
73,Complete Web and Mobile Designer,+1,https://academy.zerotomastery.io/p/complete-web-and-mobile-designer,Andrei,https://hackr.io/andreineagoie,https://hackr.io/tutorial/complete-web-and-mobile-designer,Paid,Video,Beginner,user-interface-design
74,Micro Frontends in Action,+1,https://www.manning.com/books/micro-frontends-in-action?a_aid=hackrio,von,https://hackr.io/von-latinski,https://hackr.io/tutorial/micro-frontends-in-action,Paid,Book,Advanced,user-interface-design
75,Figma Tutorials,21,https://www.youtube.com/watch?v=RFi7wQHUP0c&list=PLXDU_eVOJTx4HJKh8tQkQRtIe5YlP5smB,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/figma-tutorials,Free,Video,Beginner,figma
76,Figma Course,5,https://learnux.io/course/figma,Daniel,https://hackr.io/daniel-lee,https://hackr.io/tutorial/figma-course,Free,Video,Beginner,figma
77,Figma 101,4,https://trydesignlab.com/figma-101-course/lessons,Ashish,https://hackr.io/ashish-bogawat,https://hackr.io/tutorial/figma-101,Free,,Beginner,figma
78,Figma Tips and Tricks,2,https://webdesign.tutsplus.com/series/figma-tips-and-tricks--cms-1299,Ian,https://hackr.io/ian-yates,https://hackr.io/tutorial/figma-tips-and-tricks,Free,,Beginner,figma
79,Design System in  Figma,2,https://designcode.io/design-system-figma,Ashish,https://hackr.io/ashish-bogawat,https://hackr.io/tutorial/design-system-in-figma,Free,,Beginner,figma
80,Figma For Beginners,2,http://figmaforbeginners.com,Daniel,https://hackr.io/daniel-pendergast,https://hackr.io/tutorial/figma-for-beginners,Free,,Beginner,figma
81,Getting Started - Figma end-to-end,1,https://www.youtube.com/watch?v=T0kRCTOX0zY,Chris,https://hackr.io/chris-duarte,https://hackr.io/tutorial/getting-started-figma-end-to-end,Free,,Beginner,figma
82,UX Foundations: Multidevice Design,1,https://linkedin-learning.pxf.io/7vGm5,Nick,https://hackr.io/nick-feng,https://hackr.io/tutorial/ux-foundations-multidevice-design,Paid,Video,Beginner,user-experience-design
83,"UX & Web Design Master Course: Strategy, Design, Development",3,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/ux-web-design-master-course-strategy-design-development,Kevin,https://hackr.io/kevin-yamato,https://hackr.io/tutorial/ux-web-design-master-course-strategy-design-development,Paid,Video,Beginner,user-experience-design
84,UX Academy by Designlab,3,http://share.trydesignlab.com/hackriouxa,Manuela,https://hackr.io/manuela-odell,https://hackr.io/tutorial/ux-academy-by-designlab,Paid,Beginner,Certification,user-experience-design
85,UI / UX Design Specialization,2,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/ui-ux-design,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/ui-ux-design-specialization,Paid,Video,Beginner,user-experience-design
86,Learn How to Become a UX Designer,2,https://www.uxbeginner.com,Himanshu,https://hackr.io/himanshu-vaishnav,https://hackr.io/tutorial/learn-how-to-become-a-ux-designer,Free,,Beginner,user-experience-design
87,Fundamentals of UX Design,2,https://webdesign.tutsplus.com/courses/fundamentals-of-ux-design,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/fundamentals-of-ux-design,Paid,Video,Beginner,user-experience-design
88,UX Design Course,2,http://trydesignlab.com/ux-design-course/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/ux-design-course,Paid,Video,Advanced,user-experience-design
89,Usability Matters,1,https://www.manning.com/books/usability-matters?a_aid=hackrio,von,https://hackr.io/von-latinski,https://hackr.io/tutorial/usability-matters,Paid,Book,Beginner,user-experience-design
90,UX Design Bootcamp (Job Guaranteed),1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=43438&murl=https://www.springboard.com/workshops/ux-career-track-course/,Rodrigo,https://hackr.io/rodrigo-aronas,https://hackr.io/tutorial/ux-design-bootcamp-job-guaranteed,Beginner,Paid,User,user-experience-design
91,Effective UX Design,1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/business/effective-ux-design-video,Packt,https://hackr.io/Packt,https://hackr.io/tutorial/effective-ux-design,Paid,Video,Advanced,user-experience-design
92,Hands-On UX Design for Developers,1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/web-development/hands-uxui-design-developers,besart,https://hackr.io/besartm,https://hackr.io/tutorial/hands-on-ux-design-for-developers,Paid,Book,Advanced,user-experience-design
