CourseTitles,Votes,CourseLinks,CourseFeatures
Figma Tutorials,21 Upvotes,https://hackr.io/tutorial/figma-tutorials,Beginner
Figma Course,5 Upvotes,https://hackr.io/tutorial/figma-course,Beginner
Figma 101,4 Upvotes,https://hackr.io/tutorial/figma-101,Beginner
Figma Tips and Tricks,2 Upvotes,https://hackr.io/tutorial/figma-tips-and-tricks,Beginner
Design System in  Figma,2 Upvotes,https://hackr.io/tutorial/design-system-in-figma,Beginner
Figma For Beginners,2 Upvotes,https://hackr.io/tutorial/figma-for-beginners,Beginner
Getting Started - Figma end-to-end,1 Upvote,https://hackr.io/tutorial/getting-started-figma-end-to-end,Beginner
