CourseTitles,Votes,CourseLinks,CourseFeatures
Learn Adobe Illustrator by TastyTuts,38 Upvotes,https://hackr.io/tutorial/learn-adobe-illustrator-by-tastytuts,Video
Adobe Illustrator CC Tutorial,6 Upvotes,https://hackr.io/tutorial/adobe-illustrator-cc-tutorial,Beginner
Adobe Illustrator CS6 for Beginners,6 Upvotes,https://hackr.io/tutorial/adobe-illustrator-cs6-for-beginners,Video
Learn Adobe Illustrator Course From Scratch,6 Upvotes,https://hackr.io/tutorial/learn-adobe-illustrator-course-from-scratch,Video
Designing Custom Illustrations Without Any Drawing Skills,5 Upvotes,https://hackr.io/tutorial/designing-custom-illustrations-without-any-drawing-skills,Beginner
Illustrator - Basic,1 Upvote,https://hackr.io/tutorial/illustrator-basic,Beginner
Illustrator - Advanced,1 Upvote,https://hackr.io/tutorial/illustrator-advanced,Advanced
